"price","host_is_superhost","neighborhood","latitude","longitude","property_type","accommodates","bedrooms","beds","cleaning_fee","minimum_nights","availability_365","review_scores_rating","cancellation_policy"
150,"True","Manhattan",40.77953,-73.98829,"Appartment",2,1,1,60,1,365,91,"strict"
135,"False","Brooklyn",40.68306,-73.94659,"House",4,1,1,0,2,0,94,"strict"
250,"False","Manhattan",40.76123,-73.9642,"Appartment",1,1,1,50,3,365,100,"flexible"
80,"False","Manhattan",40.82704,-73.94907,"Appartment",4,1,3,0,3,0,80,"flexible"
70,"False","Brooklyn",40.68818,-73.96383,"House",2,1,1,25,2,343,91,"moderate"
165,"False","Brooklyn",40.6783,-74.00135,"Appartment",2,2,2,80,2,365,92,"strict"
70,"True","Staten Island",40.64633,-74.08156,"Appartment",2,1,1,0,2,306,96,"flexible"
275,"True","Manhattan",40.71915,-74.01017,"Appartment",6,1,5,150,3,173,96,"strict"
38,"True","Bronx",40.83232,-73.93184,"House",1,1,1,0,1,364,98,"strict"
150,"True","Brooklyn",40.71045,-73.9677,"Appartment",4,2,2,0,2,128,95,"strict"
125,"False","Manhattan",40.72518,-73.98034,"Appartment",2,1,0,0,1,365,95,"strict"
110,"True","Brooklyn",40.69098,-73.97113,"House",2,1,1,40,2,357,94,"strict"
120,"False","Manhattan",40.73756,-74.00405,"Appartment",2,1,1,40,3,365,95,"strict"
385,"False","Manhattan",40.72825,-73.99286,"Appartment",5,3,3,200,5,289,100,"moderate"
165,"False","Manhattan",40.81526,-73.94791,"Appartment",5,2,4,80,30,184,90,"strict"
132,"False","Brooklyn",40.70662,-73.95335,"Appartment",2,0,0,50,30,146,92,"strict"
150,"False","Manhattan",40.73423,-74.0046,"Appartment",2,1,1,60,26,354,97,"strict"
100,"False","Manhattan",40.82374,-73.9373,"Appartment",4,2,2,75,2,0,96,"strict"
65,"True","Brooklyn",40.68834,-73.97578,"Appartment",2,1,1,35,2,172,98,"strict"
350,"True","Queens",40.70382,-73.89797,"House",16,5,10,200,4,1,88,"strict"
99,"False","Manhattan",40.8063,-73.95985,"PrivateRoom",2,1,0,50,4,0,93,"strict"
200,"True","Brooklyn",40.71627,-73.9587,"Appartment",2,1,1,80,1,0,98,"moderate"
150,"True","Brooklyn",40.67994,-73.97863,"Appartment",2,1,0,70,4,100,94,"strict"
120,"True","Brooklyn",40.67868,-73.97307,"House",2,1,1,30,3,192,95,"moderate"
90,"True","Manhattan",40.76834,-73.95334,"Appartment",1,1,1,10,3,365,96,"strict"
215,"False","Manhattan",40.77041,-73.95997,"Appartment",4,1,1,0,1,351,95,"flexible"
175,"False","Brooklyn",40.68237,-73.9415,"Appartment",2,1,1,0,26,365,89,"strict"
125,"False","Manhattan",40.74031,-73.99999,"Appartment",2,0,1,0,3,0,90,"moderate"
299,"False","Manhattan",40.71882,-73.98852,"Appartment",2,1,1,165,30,65,95,"moderate"
135,"True","Brooklyn",40.6693,-73.98804,"Appartment",3,1,2,89,5,353,96,"strict"
130,"False","Manhattan",40.77333,-73.95199,"Appartment",1,1,1,0,14,0,95,"strict"
55,"False","Queens",40.67144,-73.76501,"House",2,1,1,15,2,365,88,"strict"
195,"False","Manhattan",40.76244,-73.99271,"Appartment",2,1,2,0,5,0,60,"strict"
80,"False","Brooklyn",40.69546,-73.93503,"Appartment",3,1,1,0,2,0,98,"moderate"
160,"True","Queens",40.70234,-73.89816,"Appartment",7,2,3,100,4,365,80,"strict"
265,"True","Queens",40.71546,-73.87854,"House",12,4,8,175,6,365,95,"strict"
249,"False","Brooklyn",40.7195,-73.95976,"Appartment",5,2,2,0,2,7,94,"moderate"
105,"False","Manhattan",40.76548,-73.98474,"Appartment",1,1,1,60,6,363,90,"strict"
200,"False","Manhattan",40.80234,-73.95603,"Appartment",2,1,1,100,30,365,95,"moderate"
100,"True","Brooklyn",40.6787,-73.97262,"House",2,1,0,20,2,325,97,"strict"
160,"False","Manhattan",40.81035,-73.94598,"Appartment",5,1,4,85,1,362,92,"moderate"
42,"True","Bronx",40.83075,-73.93058,"House",2,1,1,0,1,363,98,"strict"
55,"False","Queens",40.67144,-73.76501,"House",2,1,1,15,2,365,87,"strict"
100,"True","Manhattan",40.79958,-73.94275,"Appartment",2,1,1,0,5,274,97,"moderate"
140,"True","Brooklyn",40.71625,-73.93845,"Appartment",2,1,1,35,2,178,99,"strict"
71,"True","Brooklyn",40.6829,-73.93549,"Appartment",2,1,2,25,14,87,99,"moderate"
69,"False","Brooklyn",40.71065,-73.95087,"Appartment",1,1,1,0,7,89,96,"moderate"
